,ListNo,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
0,1397571,0.29,7.0,1,3,,40.779524,-111.893542,725000,1,0,Single Family,752000,7244,4.0,5.0,5415,1998
1,1394021,0.01,5.0,0,0,165.0,40.773243,-111.88329099999999,205000,0,0,Condo,205000,1431,2.0,1.0,924,1965
2,1393604,0.11,4.0,0,0,,40.773972,-111.86747,390000,1,0,Single Family,390000,1816,3.0,1.0,1702,1940
3,1393602,0.14,12.0,0,1,,40.783009,-111.8721,445000,1,3,Single Family,443000,3260,3.0,2.0,1756,1940
4,1393829,0.01,2.0,0,0,170.0,40.775055,-111.86783999999999,165000,1,0,Condo,163000,942,2.0,1.0,720,1969
5,1393370,0.01,12.0,0,2,620.0,40.771693,-111.886951,339000,0,2,Condo,334000,2141,3.0,2.0,1368,1976
6,1392721,0.14,,1,2,,40.783889,-111.872194,600000,1,2,Single Family,570000,4197,3.0,3.0,2956,1950
7,1392741,0.01,3.0,1,0,289.0,40.775431,-111.873783,209900,0,1,Condo,215000,1478,2.0,2.0,1085,1968
8,1393119,0.01,2.0,0,0,185.0,40.779415,-111.89396599999999,134900,0,0,Condo,134000,851,2.0,1.0,801,1972
9,1391580,0.09,5.0,0,0,,40.775075,-111.87226000000001,399900,1,3,Single Family,399000,2207,3.0,2.0,1539,1916
10,1391675,0.01,3.0,1,1,331.0,40.772489,-111.88495900000001,450000,0,0,Condo,445500,2904,2.0,3.0,2113,1985
11,1391475,0.01,12.0,0,0,165.0,40.784022,-111.900893,189999,0,2,Condo,185000,1328,3.0,2.0,1150,2005
12,1391069,0.07,4.0,0,0,,40.7728,-111.877568,300000,0,2,Single Family,300000,2077,2.0,1.0,1082,1891
13,1390589,0.09,10.0,0,1,,40.781456,-111.891783,489900,0,3,Single Family,478250,4232,3.0,3.0,3387,1986
14,1390079,0.08,3.0,0,0,,40.77835,-111.900273,199900,0,0,Single Family,207400,921,3.0,1.0,1060,1898
15,1389147,0.35,,1,3,,40.78181,-111.84903200000001,1080000,1,0,Single Family,1050000,6429,6.0,4.0,5456,1994
16,1388572,0.07,1.0,0,0,,40.784531,-111.872999,359500,2,2,Single Family,360000,1762,2.0,1.0,1211,1939
17,1388576,0.09,,0,1,,40.771684,-111.8664,225000,0,0,Single Family,225000,1554,2.0,0.0,2726,1889
18,1388740,0.08,22.0,0,1,,40.776419,-111.868179,359000,1,3,Single Family,368000,1767,2.0,1.0,1656,1907
19,1388159,0.0,25.0,1,1,368.0,40.774293,-111.89073400000001,229000,0,0,Condo,225000,1438,2.0,1.0,1000,1962
20,1388171,0.0,25.0,0,0,100.0,40.783421000000004,-111.898053,138500,1,0,Condo,132000,1249,2.0,1.0,740,1962
21,1390576,0.01,49.0,1,1,175.0,40.780035999999996,-111.89233999999999,126000,0,0,Condo,118000,848,1.0,1.0,560,1984
22,1387695,0.11,5.0,2,0,,40.782427,-111.875999,475000,1,1,Single Family,480000,2221,3.0,2.0,2325,1936
23,1387922,0.0,27.0,1,1,172.0,40.770059,-111.86614399999999,145000,0,0,Condo,146500,892,1.0,1.0,647,1977
24,1386280,0.01,17.0,0,1,205.0,40.770571999999994,-111.886124,200000,1,1,Condo,190000,1605,1.0,2.0,944,1979
25,1385862,0.17,4.0,1,2,,40.7728,-111.880048,499900,0,0,Single Family,503000,1909,3.0,2.0,2791,1895
26,1386086,0.06,3.0,0,0,,40.776493,-111.89406100000001,349000,0,1,Single Family,336500,2199,3.0,3.0,1919,1916
27,1385579,0.27,53.0,1,3,,40.780228,-111.84782299999999,1250000,2,0,Single Family,1197450,5553,3.0,3.0,4581,1992
28,1385051,0.25,34.0,0,2,,40.783392,-111.84603700000001,1060000,2,0,Single Family,975000,5088,5.0,4.0,3946,1990
29,1385090,0.16,3.0,1,1,,40.777951,-111.86699899999999,375000,0,1,Single Family,365000,2385,2.0,1.0,2033,1906
30,1384764,0.01,2.0,0,0,350.0,40.77143,-111.881626,129900,0,0,Condo,135000,855,1.0,1.0,500,1928
31,1384273,0.07,13.0,0,2,,40.772647,-111.880198,399000,1,0,Single Family,406000,2435,3.0,2.0,2300,1926
32,1384306,0.13,22.0,1,2,,40.776112,-111.892273,619900,2,0,Single Family,597250,3223,5.0,4.0,4039,1868
33,1384366,0.26,61.0,0,2,,40.788615,-111.873527,499000,0,0,Single Family,499000,4254,5.0,3.0,2954,1959
34,1384017,0.09,8.0,1,0,,40.771392,-111.873419,589900,1,2,Single Family,558000,311262,5.0,4.0,3696,1905
35,1385470,0.0,27.0,1,1,432.0,40.774143,-111.892214,319900,0,0,Condo,311500,2484,2.0,2.0,1600,1976
36,1383145,0.01,18.0,1,1,165.0,40.7706,-111.886156,250000,0,0,Condo,248000,1820,2.0,1.0,952,1966
37,1383272,0.01,21.0,0,0,290.0,40.775106,-111.873924,200000,0,0,Condo,200000,1150,2.0,2.0,1100,1968
38,1382955,0.16,5.0,1,2,,40.780882,-111.891609,499000,1,0,Single Family,489000,3420,2.0,3.0,2714,1925
39,1403066,0.29,,1,3,,40.781875,-111.869454,640000,1,3,Single Family,560500,3973,5.0,4.0,3958,1951
40,1382766,0.11,4.0,1,0,,40.781622999999996,-111.900999,269900,0,3,Single Family,274500,1660,2.0,1.0,1196,1916
41,1382777,0.14,49.0,1,2,,40.7819,-111.87419299999999,599500,1,0,Single Family,570000,3710,4.0,3.0,2956,1937
42,1382492,0.01,36.0,0,2,324.0,40.773058,-111.88447,385000,1,0,Condo,385000,2868,2.0,3.0,2140,1985
43,1382034,0.01,26.0,0,0,350.0,40.775113,-111.87753899999998,115000,0,0,Condo,117500,855,1.0,1.0,500,1928
44,1381690,0.2,7.0,2,2,,40.787735999999995,-111.862729,629900,2,0,Single Family,616000,4156,3.0,3.0,2826,1973
45,1382837,0.01,4.0,0,0,196.0,40.771712,-111.86628999999999,164900,0,0,Condo,164900,1284,2.0,1.0,944,1948
46,1381939,0.11,10.0,0,0,,40.772652,-111.858415,315000,1,2,Single Family,307000,2112,4.0,3.0,1881,1942
47,1380942,0.05,46.0,0,1,,40.773824,-111.873345,439900,1,0,Single Family,437900,3502,3.0,2.0,2348,1905
48,1380983,0.14,4.0,1,1,,40.779232,-111.867433,399900,1,2,Single Family,386000,2546,3.0,1.0,1911,1927
49,1381253,0.11,9.0,1,1,,40.771243,-111.862499,674500,0,1,Single Family,669000,5063,3.0,3.0,3120,1899
50,1380749,0.09,16.0,2,1,,40.781164000000004,-111.893188,448690,0,0,Single Family,448690,3019,4.0,2.0,2083,1940
51,1380478,0.25,66.0,0,3,,40.772495,-111.847834,2190000,1,3,Single Family,1960000,7579,4.0,6.0,5610,1929
52,1380142,0.33,30.0,1,2,,40.786541,-111.864929,799000,1,2,Single Family,727600,6033,5.0,3.0,5038,1971
53,1379307,0.11,60.0,0,1,,40.771384999999995,-111.859508,359000,0,0,Single Family,353200,2002,4.0,2.0,1535,1928
54,1379317,0.01,11.0,0,0,285.0,40.774293,-111.89073400000001,155000,0,0,Condo,147500,1058,1.0,1.0,754,1962
55,1378989,0.01,19.0,1,2,305.0,40.77172,-111.88618999999998,389000,0,0,Condo,375000,2376,2.0,2.0,1720,1981
56,1379089,0.11,8.0,1,2,,40.781532,-111.896899,349000,3,0,Single Family,344500,1769,2.0,2.0,1704,1852
57,1379092,0.14,6.0,1,1,,40.780751,-111.87252,469900,1,2,Single Family,472000,2539,3.0,2.0,1933,1941
58,1379132,0.14,8.0,1,2,1.0,40.772851,-111.873912,599999,1,0,Single Family,587500,3492,5.0,3.0,3486,1910
59,1378267,0.08,4.0,0,1,,40.773333,-111.87036499999999,397000,0,2,Single Family,394500,1100,3.0,2.0,2000,1902
60,1378060,0.1,27.0,0,0,,40.774004,-111.893833,373900,0,2,Single Family,370000,1820,3.0,2.0,2125,1906
61,1378210,0.0,4.0,0,0,150.0,40.771801,-111.89766599999999,165000,0,1,Condo,170500,958,1.0,1.0,564,1915
62,1377412,0.0,12.0,1,0,100.0,40.783421000000004,-111.898053,129500,0,0,Condo,129500,910,1.0,1.0,612,1961
63,1377471,0.11,4.0,0,0,,40.772207,-111.853499,479900,1,2,Single Family,515000,1606,4.0,3.0,2775,1908
64,1377523,0.01,4.0,0,0,170.0,40.773967,-111.875004,215000,0,1,Condo,225000,1447,2.0,1.0,900,1955
65,1377675,0.21,73.0,3,2,,40.781239,-111.868122,850000,0,6,Single Family,833000,4955,4.0,3.0,2691,1936
66,1377741,0.18,60.0,1,0,,40.7762,-111.87386399999998,499999,2,3,Single Family,500000,3172,5.0,3.0,3363,1908
67,1377249,0.12,43.0,0,2,,40.774,-111.875601,375000,0,0,Single Family,360300,1454,2.0,1.0,2002,1937
68,1377320,0.1,5.0,1,2,,40.783745,-111.895776,449999,0,2,Single Family,440200,2989,4.0,4.0,2324,2010
69,1377023,0.01,4.0,1,1,247.0,40.770134000000006,-111.865599,170000,0,0,Condo,170000,900,2.0,1.0,938,1977
70,1376667,0.29,6.0,1,2,,40.789297,-111.872961,664900,0,4,Single Family,659900,3673,5.0,3.0,4066,1957
71,1376452,0.0,14.0,1,1,172.0,40.770223,-111.864094,134900,0,0,Condo,134900,1043,1.0,1.0,647,1977
72,1376368,0.28,3.0,0,2,,40.788928000000006,-111.874574,650000,0,4,Single Family,640000,4371,4.0,3.0,3492,1975
73,1375685,0.1,13.0,0,1,,40.783356,-111.894016,309000,1,0,Single Family,298000,1469,3.0,2.0,1538,1928
74,1375889,0.28,21.0,2,1,,40.788016,-111.87051299999999,899000,2,4,Single Family,860000,3946,5.0,3.0,3198,1956
75,1375498,0.01,41.0,0,2,407.0,40.772842,-111.88473799999998,449000,0,0,Condo,400000,3548,2.0,3.0,2262,1985
76,1375574,0.11,2.0,1,0,,40.779891,-111.871325,414500,1,3,Single Family,403000,3023,3.0,2.0,2224,1910
77,1375273,0.16,2.0,0,0,1.0,40.771347999999996,-111.86477099999999,344900,1,0,Single Family,345000,1772,2.0,2.0,1980,1940
78,1377503,0.38,42.0,0,0,,40.7759,-111.897783,449900,0,0,Single Family,427500,2385,4.0,2.0,3316,1901
79,1374556,0.01,7.0,1,2,595.0,40.786066999999996,-111.87936599999999,665000,1,0,Condo,673000,5491,3.0,4.0,4152,1980
80,1374224,0.01,9.0,1,1,344.0,40.770554,-111.87296699999999,249000,0,0,Condo,246000,1492,2.0,1.0,1045,1912
81,1373805,0.11,4.0,0,1,,40.772831,-111.860192,439500,1,2,Single Family,446000,2537,3.0,2.0,1966,1931
82,1373871,0.31,5.0,2,2,,40.786707,-111.87433700000001,739900,1,0,Single Family,777000,3776,3.0,3.0,4443,1980
83,1373916,0.48,11.0,1,3,,40.785542,-111.86464299999999,1699000,1,0,Single Family,1699000,6205,4.0,5.0,6319,1954
84,1372945,0.01,17.0,0,0,289.0,40.775106,-111.873924,179900,0,0,Condo,170000,1500,2.0,1.0,1100,1968
85,1371972,0.1,88.0,2,2,1.0,40.782477,-111.89927,519900,1,0,Single Family,503000,1669,3.0,3.0,2400,2014
86,1372073,0.11,43.0,0,1,,40.77135,-111.880599,589000,1,2,Single Family,583000,2477,4.0,3.0,3317,1906
87,1372167,0.01,5.0,0,1,346.0,40.77364,-111.881522,199000,1,0,Condo,211000,1416,2.0,2.0,1015,1963
88,1372193,0.01,43.0,0,0,170.0,40.77472,-111.86783899999999,104900,0,0,Condo,104500,711,1.0,1.0,406,1969
89,1372253,0.01,6.0,0,0,170.0,40.775054,-111.86794599999999,159900,1,1,Condo,156000,1065,2.0,1.0,722,1969
90,1371617,0.98,5.0,2,3,,40.789598,-111.86652,1750000,1,0,Single Family,1700000,11221,7.0,6.0,6009,1968
91,1391975,0.0,,1,0,,40.783421000000004,-111.898053,127500,0,0,Condo,126500,910,1.0,1.0,612,1961
92,1370687,0.01,8.0,1,1,232.0,40.770296,-111.865958,180000,0,0,Condo,178000,891,2.0,1.0,938,1977
93,1370940,0.11,5.0,1,0,,40.779888,-111.865808,415000,1,0,Single Family,415000,2403,5.0,2.0,2836,1906
94,1370322,0.11,4.0,0,2,,40.780978999999995,-111.889576,350000,1,0,Single Family,355000,3000,3.0,2.0,1963,1909
95,1370904,0.12,,1,2,,40.777644,-111.86686100000001,524900,1,0,Single Family,519900,3760,5.0,3.0,2882,1906
96,1370977,0.14,,0,1,,40.780497,-111.874799,299000,1,0,Single Family,295000,2274,3.0,2.0,2176,1937
97,1370464,0.02,69.0,0,1,448.0,40.771693,-111.886951,235000,0,0,Condo,235000,1860,2.0,2.0,1110,1976
98,1369625,0.0,,0,0,100.0,40.783421000000004,-111.898053,142000,0,0,Condo,142000,1032,2.0,1.0,740,1961
99,1369634,0.0,,1,0,100.0,40.783421000000004,-111.898053,142000,0,1,Condo,137750,1032,2.0,1.0,740,1962
100,1369647,0.0,,0,0,100.0,40.783421000000004,-111.898053,136500,0,0,Condo,134000,1032,2.0,1.0,740,1962
101,1369004,0.01,11.0,1,0,130.0,40.784690999999995,-111.89593799999999,130000,0,0,Condo,130000,1191,2.0,2.0,843,1981
102,1369086,0.01,7.0,0,1,761.0,40.770219,-111.887803,449900,0,0,Condo,449900,2225,3.0,2.0,1529,1986
103,1369281,0.08,7.0,0,0,,40.785506,-111.89818700000001,224900,0,2,Single Family,220000,612,2.0,1.0,867,1886
104,1368470,0.07,5.0,0,0,,40.779369,-111.895055,315000,1,0,Single Family,317150,2072,3.0,1.0,1511,1905
105,1368531,0.01,,2,2,100.0,40.785647999999995,-111.900301,299000,1,0,Townhouse,300000,906,2.0,3.0,1682,2014
106,1367985,0.11,3.0,1,0,,40.783117,-111.897227,310000,1,3,Single Family,307000,1627,2.0,1.0,1544,1903
107,1368099,0.01,71.0,0,2,467.0,40.774741999999996,-111.893074,419000,3,0,Condo,400000,2014,2.0,2.0,1508,1976
108,1367552,0.43,21.0,1,3,,40.789304,-111.886734,760000,2,0,Single Family,745000,6200,4.0,4.0,3588,1960
109,1367553,0.0,3.0,0,1,215.0,40.770959999999995,-111.864092,260000,0,0,Condo,275000,2022,2.0,1.0,844,1938
110,1367757,0.11,5.0,0,1,,40.780356,-111.87041599999999,389500,0,2,Single Family,385000,2316,3.0,2.0,1960,1914
