,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
0,0.29,7.0,1,3,,40.779524,-111.893542,725000,1,0,Single Family,752000,7244,4.0,5.0,"5,415",1998
1,0.01,5.0,0,0,165.0,40.773243,-111.88329099999999,205000,0,0,Condo,205000,1431,2.0,1.0,924,1965
2,0.11,4.0,0,0,,40.773972,-111.86747,390000,1,0,Single Family,390000,1816,3.0,1.0,"1,702",1940
3,0.14,12.0,0,1,,40.783009,-111.8721,445000,1,3,Single Family,443000,3260,3.0,2.0,"1,756",1940
4,0.01,2.0,0,0,170.0,40.775055,-111.86783999999999,165000,1,0,Condo,163000,942,2.0,1.0,720,1969
5,0.01,12.0,0,2,620.0,40.771693,-111.886951,339000,0,2,Condo,334000,2141,3.0,2.0,"1,368",1976
6,0.14,,1,2,,40.783889,-111.872194,600000,1,2,Single Family,570000,4197,3.0,3.0,"2,956",1950
7,0.01,3.0,1,0,289.0,40.775431,-111.873783,209900,0,1,Condo,215000,1478,2.0,2.0,"1,085",1968
8,0.01,2.0,0,0,185.0,40.779415,-111.89396599999999,134900,0,0,Condo,134000,851,2.0,1.0,801,1972
9,0.09,5.0,0,0,,40.775075,-111.87226000000001,399900,1,3,Single Family,399000,2207,3.0,2.0,"1,539",1916
10,0.01,3.0,1,1,331.0,40.772489,-111.88495900000001,450000,0,0,Condo,445500,2904,2.0,3.0,"2,113",1985
11,0.01,12.0,0,0,165.0,40.784022,-111.900893,189999,0,2,Condo,185000,1328,3.0,2.0,"1,150",2005
12,0.07,4.0,0,0,,40.7728,-111.877568,300000,0,2,Single Family,300000,2077,2.0,1.0,"1,082",1891
13,0.09,10.0,0,1,,40.781456,-111.891783,489900,0,3,Single Family,478250,4232,3.0,3.0,"3,387",1986
14,0.08,3.0,0,0,,40.77835,-111.900273,199900,0,0,Single Family,207400,921,3.0,1.0,"1,060",1898
15,0.35,,1,3,,40.78181,-111.84903200000001,1080000,1,0,Single Family,1050000,6429,6.0,4.0,"5,456",1994
16,0.07,1.0,0,0,,40.784531,-111.872999,359500,2,2,Single Family,360000,1762,2.0,1.0,"1,211",1939
17,0.09,,0,1,,40.771684,-111.8664,225000,0,0,Single Family,225000,1554,2.0,0.0,"2,726",1889
18,0.08,22.0,0,1,,40.776419,-111.868179,359000,1,3,Single Family,368000,1767,2.0,1.0,"1,656",1907
19,0.0,25.0,1,1,368.0,40.774293,-111.89073400000001,229000,0,0,Condo,225000,1438,2.0,1.0,"1,000",1962
20,0.0,25.0,0,0,100.0,40.783421000000004,-111.898053,138500,1,0,Condo,132000,1249,2.0,1.0,740,1962
21,0.01,49.0,1,1,175.0,40.780035999999996,-111.89233999999999,126000,0,0,Condo,118000,848,1.0,1.0,560,1984
22,0.11,5.0,2,0,,40.782427,-111.875999,475000,1,1,Single Family,480000,2221,3.0,2.0,"2,325",1936
23,0.0,27.0,1,1,172.0,40.770059,-111.86614399999999,145000,0,0,Condo,146500,892,1.0,1.0,647,1977
24,0.01,17.0,0,1,205.0,40.770571999999994,-111.886124,200000,1,1,Condo,190000,1605,1.0,2.0,944,1979
25,0.17,4.0,1,2,,40.7728,-111.880048,499900,0,0,Single Family,503000,1909,3.0,2.0,"2,791",1895
26,0.06,3.0,0,0,,40.776493,-111.89406100000001,349000,0,1,Single Family,336500,2199,3.0,3.0,"1,919",1916
27,0.27,53.0,1,3,,40.780228,-111.84782299999999,1250000,2,0,Single Family,1197450,5553,3.0,3.0,"4,581",1992
28,0.25,34.0,0,2,,40.783392,-111.84603700000001,1060000,2,0,Single Family,975000,5088,5.0,4.0,"3,946",1990
29,0.16,3.0,1,1,,40.777951,-111.86699899999999,375000,0,1,Single Family,365000,2385,2.0,1.0,"2,033",1906
30,0.01,2.0,0,0,350.0,40.77143,-111.881626,129900,0,0,Condo,135000,855,1.0,1.0,500,1928
31,0.07,13.0,0,2,,40.772647,-111.880198,399000,1,0,Single Family,406000,2435,3.0,2.0,"2,300",1926
32,0.13,22.0,1,2,,40.776112,-111.892273,619900,2,0,Single Family,597250,3223,5.0,4.0,"4,039",1868
33,0.26,61.0,0,2,,40.788615,-111.873527,499000,0,0,Single Family,499000,4254,5.0,3.0,"2,954",1959
34,0.09,8.0,1,0,,40.771392,-111.873419,589900,1,2,Single Family,558000,311262,5.0,4.0,"3,696",1905
35,0.0,27.0,1,1,432.0,40.774143,-111.892214,319900,0,0,Condo,311500,2484,2.0,2.0,"1,600",1976
36,0.01,18.0,1,1,165.0,40.7706,-111.886156,250000,0,0,Condo,248000,1820,2.0,1.0,952,1966
