,ListNo,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
0,1397571,0.29,7.0,1,3,,40.779524,-111.893542,725000,1,0,Single Family,752000,7244,4.0,5.0,5415,1998,1
1,1394021,0.01,5.0,0,0,165.0,40.773243,-111.88329099999999,205000,0,0,Condo,205000,1431,2.0,1.0,924,1965,0
2,1393604,0.11,4.0,0,0,,40.773972,-111.86747,390000,1,0,Single Family,390000,1816,3.0,1.0,1702,1940,1
3,1393602,0.14,12.0,0,1,,40.783009,-111.8721,445000,1,3,Single Family,443000,3260,3.0,2.0,1756,1940,1
5,1393370,0.01,12.0,0,2,620.0,40.771693,-111.886951,339000,0,2,Condo,334000,2141,3.0,2.0,1368,1976,0
6,1392721,0.14,,1,2,,40.783889,-111.872194,600000,1,2,Single Family,570000,4197,3.0,3.0,2956,1950,1
7,1392741,0.01,3.0,1,0,289.0,40.775431,-111.873783,209900,0,1,Condo,215000,1478,2.0,2.0,1085,1968,0
9,1391580,0.09,5.0,0,0,,40.775075,-111.87226000000001,399900,1,3,Single Family,399000,2207,3.0,2.0,1539,1916,1
10,1391675,0.01,3.0,1,1,331.0,40.772489,-111.88495900000001,450000,0,0,Condo,445500,2904,2.0,3.0,2113,1985,0
12,1391069,0.07,4.0,0,0,,40.7728,-111.877568,300000,0,2,Single Family,300000,2077,2.0,1.0,1082,1891,1
13,1390589,0.09,10.0,0,1,,40.781456,-111.891783,489900,0,3,Single Family,478250,4232,3.0,3.0,3387,1986,1
16,1388572,0.07,1.0,0,0,,40.784531,-111.872999,359500,2,2,Single Family,360000,1762,2.0,1.0,1211,1939,1
17,1388576,0.09,,0,1,,40.771684,-111.8664,225000,0,0,Single Family,225000,1554,2.0,0.0,2726,1889,1
18,1388740,0.08,22.0,0,1,,40.776419,-111.868179,359000,1,3,Single Family,368000,1767,2.0,1.0,1656,1907,1
19,1388159,0.0,25.0,1,1,368.0,40.774293,-111.89073400000001,229000,0,0,Condo,225000,1438,2.0,1.0,1000,1962,0
22,1387695,0.11,5.0,2,0,,40.782427,-111.875999,475000,1,1,Single Family,480000,2221,3.0,2.0,2325,1936,1
25,1385862,0.17,4.0,1,2,,40.7728,-111.880048,499900,0,0,Single Family,503000,1909,3.0,2.0,2791,1895,1
26,1386086,0.06,3.0,0,0,,40.776493,-111.89406100000001,349000,0,1,Single Family,336500,2199,3.0,3.0,1919,1916,1
29,1385090,0.16,3.0,1,1,,40.777951,-111.86699899999999,375000,0,1,Single Family,365000,2385,2.0,1.0,2033,1906,1
31,1384273,0.07,13.0,0,2,,40.772647,-111.880198,399000,1,0,Single Family,406000,2435,3.0,2.0,2300,1926,1
32,1384306,0.13,22.0,1,2,,40.776112,-111.892273,619900,2,0,Single Family,597250,3223,5.0,4.0,4039,1868,1
33,1384366,0.26,61.0,0,2,,40.788615,-111.873527,499000,0,0,Single Family,499000,4254,5.0,3.0,2954,1959,1
35,1385470,0.0,27.0,1,1,432.0,40.774143,-111.892214,319900,0,0,Condo,311500,2484,2.0,2.0,1600,1976,0
36,1383145,0.01,18.0,1,1,165.0,40.7706,-111.886156,250000,0,0,Condo,248000,1820,2.0,1.0,952,1966,0
38,1382955,0.16,5.0,1,2,,40.780882,-111.891609,499000,1,0,Single Family,489000,3420,2.0,3.0,2714,1925,1
39,1403066,0.29,,1,3,,40.781875,-111.869454,640000,1,3,Single Family,560500,3973,5.0,4.0,3958,1951,1
40,1382766,0.11,4.0,1,0,,40.781622999999996,-111.900999,269900,0,3,Single Family,274500,1660,2.0,1.0,1196,1916,1
41,1382777,0.14,49.0,1,2,,40.7819,-111.87419299999999,599500,1,0,Single Family,570000,3710,4.0,3.0,2956,1937,1
42,1382492,0.01,36.0,0,2,324.0,40.773058,-111.88447,385000,1,0,Condo,385000,2868,2.0,3.0,2140,1985,0
